Title of resource,Map type,Coordinate system,Date of ground survey used to compile map,Resource created at,Description,Ellipsoid,Copywright,Publisher,Location of hard copy,Start Date,Map scale,MAEASaM ID,Datum,URL,Sheet history,Resource Type,Author,Map title, Location,Subject,Book or journal information,Year of publication,Projection,Book or journal edition,Format,Language,Recorder,Page numbers,Cartographer,Map creation date,Location of digital copy consulted,Volume,Collection publisher,Name of collection ,End Date,Contributors,ISBN/ISSN,Comment,Source,Project name,Map series code,DOI,Resource last modified at,Map publisher,Developed or maintained by,resourceid
Copy 2 of Sdn_site Resource Model_v. 2. xlsx,,,,2024-06-03,None,,,None,,None,,INFO-00000117,,https://docs.google.com/spreadsheets/d/11NqYJWsdIZSuvRa2lwOscSmjCz-1Mcx_/editusp=embed_facebook,,Webpage,None,,,None,Google Docs,None,,None,None,En-gb,,None,,,,None,None,None,None,None,None,,None,None,,None,2024-07-26,,None,229e2d80-71fa-4062-8349-0da61dabf0be
Pottery Traditions of Early Pastoral Communities in Kenya,,,,2024-06-01,,,,None,,,,INFO-00000118,,None,,Journal article,Collett David ; Robertshaw Peter,,,,Azania: Archaeological Research in Africa,1983-01-01,,1,,,,107-125,,,,18,,,,,None,,,,,10. 1080/00672708309511317,2024-06-01,,,bfaf2473-225a-43d1-ba3b-946cf59d2989
Azania,,,,2024-05-31,,,,British Institute of History and Archaeology in East Africa,,,,INFO-00000119,,https://books.google.co.ke/booksid=e7YKAQAAIAAJ,,Book,British Institute of History and Archaeology in East Africa ; British Institute in Eastern Africa,,,,None,1977-01-01,,None,,,,None,,,,None,,,,,None,,,,,None,2024-07-26,,,6d6daf11-95b9-46f3-99be-df93b7910b01
Notes on an Archaeological Reconnaissance of Mt. Elgon Kenya,,,,2024-05-31,None,,,None,,None,,INFO-00000120,,http://www.tandfonline.com/doi/abs/10.1080/00672707409511724,,Journal article,Bower John R. F.,,,None,Azania: Archaeological Research in Africa,1974-01-01,,1,None,English,,223-225,,,,9,None,None,None,None,None,,None,None,,10. 1080/00672707409511724,2024-05-31,,None,33d90d57-a66e-4646-a1d9-055476a613b6
Kwale: an Early Iron Age Site in Eastern Kenya,,,,2024-05-30,,,,None,,,,INFO-00000121,,None,,Journal article,Soper Robert,,,,Azania: Archaeological Research in Africa,1967-01-01,,1,,,,None,,,,2,,,,,None,,,,,Https: //doi. org/10. 1080/00672706709511437,2024-05-30,,,40cbca0b-e3be-434f-abec-019b443c36af
Skeletal Characteristics and Population Demography as Reflected by Materials from Toutswe Tradition Sites in Eastern Botswana West of the Shashe-limpopo Basin,M Sc with Specialization in Anatomy,,None,2024-05-29,None,,,University of Pretoria,,None,None,INFO-00000122,,https://www.researchgate.net/publication/35941765_Skeletal_characteristics_and_population_demography_as_reflected_by_materials_from_Toutswe_tradition_sites_in_eastern_Botswana_west_of_the_Shashe-Limpopo_basin_electronic_resource,,Unpublished PhD thesis,Mosothwane Morongwa Nancy,None,None,None,None,2004-03-02,None,None,None,English,,None,None,None,,None,None,None,None,None,None,,None,None,None,None,2024-05-29,None,None,63597fb1-7248-48b2-8437-9e5c9c2b8e0e
Palaeodemography of Early Iron Age Toutswe Communities in Botswana,,,,2024-05-29,None,,,None,,None,,INFO-00000123,,https://www.researchgate.net/publication/271812196_Palaeodemography_of_Early_Iron_Age_Toutswe_Communities_in_Botswana,,Journal article,Mosothwane Morongwa Nancy ; Steyn Maryna,,,None,The South African Archaeological Bulletin,2004-12-01,,80,None,English,,45-51,,,,59,None,None,None,None,None,,None,None,,Doi: 10. 2307/3889242,2024-05-29,,None,521b00c8-827b-4c75-9a99-abe0aa6eb7a6
Environmental Impact Statement Botswana Transmission Lines for the Mmamabula Energy Project Botswana Power Corporation,Environmental Impact Statement,,None,2024-05-29,None,,,Digby Wells & Associates,,None,None,INFO-00000124,,https://documents1.worldbank.org/curated/zh/224441468199149504/pdf/E20680v10P11251IS010submitted0May07.pdf,,Report,Walker Nick ; Van Ryneveld Karen,None,None,None,None,2007-03-01,None,None,None,English,,272,None,None,,None,None,None,None,None,None,,None,None,None,None,2024-05-29,None,None,f25d0a14-f819-4312-90c2-5e91b4d57ca2
Shoshong: a Short History,,,,2024-05-29,None,,© Jacob Knight 2014,Kwangu,,None,,INFO-00000125,,https://www.kwangu.com/shoshong/History_shoshong_lr.pdf,,Book,Knight Jacob,,,None,None,2014-01-01,,None,None,English,,None,,,,None,None,None,None,None,99968-0-225-6 978-99968-0-225-6,,None,None,,None,2024-05-29,,None,80045a99-9ec1-422b-a246-170641c840f4
Shona Ethnography and Iron Age Burials,,,,2024-05-29,,,,None,,,,INFO-00000126,,https://www.jstor.org/stable/43135324,,Journal article,Huffman Thomas N. ; Murimbika Mc Edward,,,,Journal of African Archaeology,2003-01-01,,2,,,,237-246,,,,1,,,,,None,,,,,None,2024-05-29,,,695a9964-b098-4def-afa3-18e4a55edac7
Compositional and Provenance Study of Glass Beads from Archaeological Sites in Mali and Senegal at the Time of the First Sahelian States,,,,2024-05-29,None,,,None,,None,,INFO-00000127,,https://dx.plos.org/10.1371/journal.pone.0242027,,Journal article,Truffa Giachet Miriam ; Gratuze Bernard ; Mayor Anne ; Huysecom Eric,,,None,Plos One,2020-01-01,,12,None,English,,1-26,,,,15,None,None,None,None,None,,None,None,,10. 1371/journal. pone. 0242027,2024-07-29,,None,f0fe0074-40ee-41a2-ab9f-472f23819230
New Data on Settlement and Environment at the Pleistocene/holocene Boundary in Sudano-sahelian West Africa: Interdisciplinary Investigation at Fatandi V Eastern Senegal,,,,2024-05-29,None,,,None,,None,,INFO-00000128,,https://hal.science/hal-03063887,,Journal article,Chevrier Benoît ; Lespez Laurent ; Lebrun Brice ; Garnier Aline ; Tribolo Chantal ; Rasse Michel ; Guérin Guillaume ; Mercier Norbert ; Camara Abdoulaye ; Ndiaye Matar ; Huysecom Eric,,,None,P Lo s One,2020-12-09,,12,None,English,,E0243129,,,,15,None,None,None,None,None,,None,None,,10. 1371/journal. pone. 0243129,2024-05-29,,None,1736f574-d389-4084-b92a-b37ce05d6031
Archéologie Et Environnements Au Sénégal Oriental: Résultats De La 21ème Année Du Programme International Peuplement Humain Et Paléoenvironnement En Afrique,,,,2024-05-29,None,,,Tamedia,,None,,INFO-00000129,,http://www.slsa.ch/publications-2/lang=en,,Book section,Mayor Anne ; Douze Katja ; Aymeric Nsangou Jacques De Limbepe ; Bocoum Hamady ; Cantin Nadia ; Cervera Céline ; Champion Louis ; Chiquet Patricia Anne ; Davidoux Sarah ; Garnier Aline ; Hajdas Irka ; Kanté Cheikh Oumar ; Lebrun Brice ; Lespez Laurent ; Ndiaye Matar ; Ollier Camille ; Pelmoine Thomas ; Rasse Michel ; Tribolo Chantal ; Huysecom Eric,,,None,Slsa Annual Rapport Annuel 2018,2019-01-01,,None,None,French,,185,,,,None,None,None,None,None,978-3-9524771-2-0,,None,None,,None,2024-07-26,,None,7951adad-4d29-44d4-8d9b-91825afd6373
Middle Stone Age Bifacial Technology and Pressure Flaking at the Mis 3 Site of Toumboura Iii Eastern Senegal,,,,2024-05-29,None,,,None,,None,,INFO-00000130,,https://link.springer.com/10.1007/s10437-021-09463-5,,Journal article,Schmid Viola ; Douze Katja ; Tribolo Chantal ; Martinez Maria Lorenzo ; Rasse Michel ; Lespez Laurent ; Lebrun Brice ; Hérisson David ; Ndiaye Matar ; Huysecom Eric,,,None,African Archaeological Review,2021-11-25,,None,None,English,,None,,,,None,None,None,None,None,None,,None,None,,10. 1007/s10437-021-09463-5,2024-05-29,,None,195e5d09-3032-42c4-9add-88cb32121d37
A West African Middle Stone Age Site Dated to the Beginning of Mis 5: Archaeology Chronology and Paleoenvironment of the Ravin Blanc i (eastern Senegal),,,,2024-05-29,None,,,None,,None,,INFO-00000131,,https://hal.science/hal-03178797,,Journal article,Douze Katja ; Lespez Laurent ; Rasse Michel ; Tribolo Chantal ; Garnier Aline ; Lebrun Brice ; Mercier Norbert ; Ndiaye Matar ; Chevrier Benoît ; Huysecom Eric,,,None,Journal of Human Evolution,2021-01-01,,None,None,English,,102952,,,,154,None,None,None,None,None,,None,None,,10. 1016/j. jhevol. 2021. 102952,2024-05-29,,None,50c6583d-56c0-4ac7-a702-915efba1ad5b
The First Emergence of Ceramic Production in Africa,,,,2024-05-29,None,,,Oxford University Press,,None,,INFO-00000132,,https://oxfordre.com/anthropology/view/10.1093/acrefore/9780190854584.001.0001/acrefore-9780190854584-e-66,,Book section,Huysecom Eric,,,None,Oxford Research Encyclopedia of Anthropology,2020-01-01,,None,None,English,,1,,,,None,None,None,None,None,None,,None,None,,None,2024-05-29,,None,a7b71775-e16c-455f-a002-374051d97759
Archéologie Dans La Falémé (Sénégal oriental): Résultats De La 22ème Année Du Programme « Peuplement Humain Et Paléoenvironnement En Afrique »,,,,2024-05-29,None,,,Tamedia,,None,,INFO-00000133,,http://archive-ouverte.unige.ch:/unige:142850,,Book section,Mayor Anne ; Douze Katja ; Bocoum Hamadi ; Cervera Céline ; Champion Louis ; Glauser David ; Guindo Nema ; Kassogué Guémo ; Ndiaye Matar ; Rasse Michel ; Traoré Boubacar ; Huysecom Eric,,,None,Slsa Annual Report 2019,2020-01-01,,None,None,French,,197,,,,None,None,None,None,None,978-3-9524771-3-7,,None,None,,None,2024-05-29,,None,8a571afa-da6e-4da6-a6ae-82699c849204
How to Deal with an Elephant in the Room Understanding Non-flint Raw Materials: Characterisation and Technological Organisation,,,,2024-05-29,None,,,None,,None,,INFO-00000134,,http://archive-ouverte.unige.ch:/unige:163603,,Journal article,Prieto Alejandro ; Aldea-moreira Xes ; Arzarello Marta ; Berruti Gabriele L. F. ; Caracausi Sandro ; Daffara Sara ; De La Peña Paloma ; Favreau Julien ; García-rojas Maite ; Huysecom Eric ; Janardhana Bora ; Jha Deepak Kumar ; Lahari Lalita ; Molefyane T. R. ; Pruvost Charlotte ; Rodríguez-álvarez Xosé Pedro ; Thomas M. ; Vaishnav Hemant Kumar ; Villeneuve Quentin ; De Lombera-hermida Arturo,,,None,Arkeo Gazte,2022-07-27,,12,None,English,,73,,,,None,None,None,None,None,None,,None,None,,None,2024-07-26,,None,9948f7d4-bfda-438c-887d-19535f067e8d
Alain Gallay En Afrique De L Ouest: Des Stratégies De Recherche Novatrices Pour Larchéologie Et Lethnoarchéologie De La Céramique,,,,2024-05-29,None,,,None,,None,,INFO-00000135,,https://www.prehistoire.org/offres/doc_inline_src/515/0-BSPF_2022_2_Hommages_Alain_Gallay.pdf,,Journal article,Huysecom Eric ; Mayor Anne,,,None,Bulletin De La Société Préhistorique Française,2022-08-01,,2022/1,None,French,,350,,,,119,None,None,None,None,None,,None,None,,None,2024-05-29,,None,d91c50a6-f1c1-43d6-8256-97aeff26dfb5
Diversification Intensification and Specialization: Changing Land Use in Western Africa from 1800 Bc to Ad 1500,,,,2024-05-29,,,,None,,,,INFO-00000136,,https://www.jstor.org/stable/45217622,,Journal article,Kay Andrea U. ; Fuller Dorian Q. ; Neumann Katharina ; Eichhorn Barbara ; Höhn Alexa ; Morin-rivat Julie ; Champion Louis ; Linseele Veerle ; Huysecom Eric ; Ozainne Sylvain ; Lespez Laurent ; Biagetti Stefano ; Madella Marco ; Salzmann Ulrich ; Kaplan Jed o.,,,,Journal of World Prehistory,2019-01-01,,2,,,,179-228,,,,32,,,,,None,,,,,None,2024-05-29,,,feb6be49-11b5-4a3d-8f9a-56127d4f77e2
Dynamiques Techniques De L Acheuléen À La Période Des Grands Empires Dans La Vallée De La Falémé Sénégal: Résultats De La 24ème Année Du Programme « Peuplement Humain Et Paléoenvironnement En Afrique »,,,,2024-05-29,None,,,Slsa,,None,,INFO-00000137,,http://archive-ouverte.unige.ch:/unige:164484,,Book section,Mayor Anne ; Douze Katja ; Pruvost Charlotte ; Bocoum Hamady ; Cervera Céline ; Champion Louis ; Chiquet Patricia Anne ; Hajdas Irka ; Kehl Victoria Irène Odette ; Lamotte Pierre ; Lespez Laurent ; Ndiaye Matar ; Rasse Michel ; Serneels Vincent ; Tribolo Chantal ; Huysecom Eric,,,None,Slsa Jahresbericht - Rapport Annuel 2021,2022-01-01,,None,None,French,,77,,,,None,None,None,None,None,978-3-9524771-5-1,,None,None,,None,2024-05-29,,None,4d3e6430-1ebe-4bfc-9ccc-d5df313dfbea
The Middle Stone Age Archaeology of the Senegal River Valley,,,,2024-05-29,None,,,None,,None,,INFO-00000138,,https://linkinghub.elsevier.com/retrieve/pii/S1040618215008939,,Journal article,Scerri Eleanor M. l. ; Blinkhorn James ; Groucutt Huw S. ; Niang Khady,,,None,Quaternary International,2016-07-01,,None,None,English,,16-32,,,,408,None,None,None,None,None,,None,None,,10. 1016/j. quaint. 2015. 09. 025,2024-05-29,,None,1297bc6e-577d-4f9a-99b9-a88d1e84798d
The Oldest Stone Age Occupation of Coastal West Africa and its Implications for Modern Human Dispersals: New Insight from Tiémassas,,,,2024-05-29,None,,,None,,None,,INFO-00000139,,https://linkinghub.elsevier.com/retrieve/pii/S0277379118300064,,Journal article,Niang Khady ; Blinkhorn James ; Ndiaye Matar,,,None,Quaternary Science Reviews,2018-05-01,,None,None,English,,167-173,,,,188,None,None,None,None,None,,None,None,,10. 1016/j. quascirev. 2018. 03. 022,2024-05-29,,None,fb5e55db-5af1-4382-bf19-e63a07402e4d
Two New Later Stone Age Sites from the Final Pleistocene in the Falémé Valley Eastern Senegal,,,,2024-05-29,None,,Http: //creativecommons. org/licenses/by/4. 0/,None,,None,,INFO-00000140,,https://www.research-collection.ethz.ch/handle/20.500.11850/667478,,Journal article,Ndiaye Matar ; Lespez Laurent ; Tribolo Chantal ; Rasse Michel ; Hadjas Irka ; Davidoux Sarah ; Huysecom Éric ; Douze Katja,,,None,P Lo s One,2024-03-28,,3,None,English,,E0294346,,,,19,None,None,None,None,None,,None,None,,10. 1371/journal. pone. 0294346,2024-05-29,,None,a848dfdf-eee5-4b56-9a01-b9b5d2d55848
The Middle Stone Age Occupations of Tiémassas Coastal West Africa between 62 and 25 Thousand Years Ago,,,,2024-05-29,None,,,None,,None,,INFO-00000141,,https://linkinghub.elsevier.com/retrieve/pii/S2352409X20304491,,Journal article,Niang Khady ; Blinkhorn James ; Ndiaye Matar ; Bateman Mark ; Seck Birame ; Sawaré Gora,,,None,Journal of Archaeological Science: Reports,2020-12-01,,None,None,English,,102658,,,,34,None,None,None,None,None,,None,None,,10. 1016/j. jasrep. 2020. 102658,2024-05-29,,None,54c9bf48-6425-489d-84b0-caa86c9c0e11
Continuity of the Middle Stone Age into the Holocene,,,,2024-05-29,None,,,None,,None,,INFO-00000142,,https://www.nature.com/articles/s41598-020-79418-4,,Journal article,Scerri Eleanor M. L. ; Niang Khady ; Candy Ian ; Blinkhorn James ; Mills William ; Cerasoni Jacopo N. ; Bateman Mark D. ; Crowther Alison ; Groucutt Huw s.,,,None,Scientific Reports,2021-01-11,,1,None,English,,70,,,,11,None,None,None,None,None,,None,None,,10. 1038/s41598-020-79418-4,2024-05-29,,None,4c3ed368-7708-4150-b71e-73057922d4a0
Longstanding Behavioural Stability in West Africa Extends to the Middle Pleistocene at Bargny Coastal Senegal,,,,2024-05-29,None,,,None,,None,,INFO-00000143,,https://www.nature.com/articles/s41559-023-02046-4,,Journal article,Niang Khady ; Blinkhorn James ; Bateman Mark D. ; Kiahtipes Christopher a.,,,None,Nature Ecology & Evolution,2023-05-04,,7,None,English,,1141-1151,,,,7,None,None,None,None,None,,None,None,,10. 1038/s41559-023-02046-4,2024-05-29,,None,77e9e4aa-8110-4f97-93a2-661c3e5ca0fa
Female Archaeologists in West Africa: the Case of Senegal,,,,2024-05-29,None,,,Springer International Publishing,,None,,INFO-00000144,,https://link.springer.com/10.1007/978-3-031-27650-7_22,,Book section,Niang Khady,,,None,Women in Archaeology,2023-01-01,,None,None,English,,441-460,,,,None,None,None,None,None,978-3-031-27649-1 978-3-031-27650-7,,None,None,,None,2024-05-29,,None,4ce15f29-226e-4846-b432-24d609a01358
Tiémassas Senegal,,,,2024-05-29,None,,,Springer International Publishing,,None,,INFO-00000145,,https://link.springer.com/10.1007/978-3-031-20290-2_60,,Book section,Niang Khady ; Blinkhorn James,,,None,Handbook of Pleistocene Archaeology of Africa,2023-01-01,,None,None,English,,941-950,,,,None,None,None,None,None,978-3-031-20289-6 978-3-031-20290-2,,None,None,,None,2024-05-29,,None,ab39d46a-bc94-4e3b-b70d-afa1d2132f19
Ndiayène Pendao and the Lower Senegal Valley Senegal,,,,2024-05-29,None,,,Springer International Publishing,,None,,INFO-00000146,,https://link.springer.com/10.1007/978-3-031-20290-2_59,,Book section,Blinkhorn James ; Niang Khady ; Groucutt Huw S. ; Scerri Eleanor M. L.,,,None,Handbook of Pleistocene Archaeology of Africa,2023-01-01,,None,None,English,,929-939,,,,None,None,None,None,None,978-3-031-20289-6 978-3-031-20290-2,,None,None,,None,2024-05-29,,None,da6362ed-6c7e-4b97-916e-626c5bcc1092
Histories and Material Manifestations of Slavery in the Upper Gambia River Region: Preliminary Results of the Bandafassi Regional Archaeological Project,,,,2024-05-29,None,,,Routledge,,None,,INFO-00000147,,https://www.taylorfrancis.com/books/9781000334838/chapters/10.4324/9781003121527-2,,Book section,Kroot Matthew V. ; Gokee Cameron,,,None,Landscapes of Slavery in Africa,2021-05-15,,None,None,English,,4-34,,,,None,None,None,None,None,978-1-003-12152-7,,None,None,,None,2024-05-29,,None,8dba5c2a-bfaa-48ad-b1ca-20dee80c3460
Mapping the Villagescape: an Archaeological Approach to Political Ecology Along the Falemme River Ad 1000–1900,,,,2024-05-29,None,,,None,,None,,INFO-00000148,,http://link.springer.com/10.1007/s10437-020-09375-w,,Journal article,Gokee Cameron ; Thiaw Ibrahima,,,None,African Archaeological Review,2020-03-01,,1,None,English,,95-124,,,,37,None,None,None,None,None,,None,None,,10. 1007/s10437-020-09375-w,2024-05-29,,None,2bd294c4-4305-4d73-8fb9-3ffbe71c2387
Assembling the Village in Medieval Bambuk: an Archaeology of Interaction at Diouboye Senegal,,,,2024-05-29,,,,Equinox Publishing Ltd,,,,INFO-00000149,,None,,Book,Gokee Cameron d.,,,,None,2016-01-01,,None,,,,None,,,,None,,,,,978-1-78179-040-3,,,,,None,2024-05-29,,,04246cf7-9f1d-4e0f-a122-df1902ea8df3
Fleuve Sénégal,,,,2024-05-29,None,,,None,,None,,INFO-00000150,,https://prehistoireouestsaharienne.wordpress.com/category/fleuve-senegal/,,Webpage,None,,,None,Préhistoire De L Ouest Saharien,2024-03-06,,None,None,Fr-fr,,None,,,,None,None,None,None,None,None,,None,None,,None,2024-05-29,,None,0ef91583-e6c8-4a56-aaa0-f7847af53524
The Archaeology of West Africa Ca. 800 Bce to 1500 Ce,,,,2024-05-29,None,,,None,,None,,INFO-00000151,,https://compass.onlinelibrary.wiley.com/doi/10.1111/hic3.12316,,Journal article,Dueppen Stephen a.,,,None,History Compass,2016-06-01,,6,None,English,,247-263,,,,14,None,None,None,None,None,,None,None,,10. 1111/hic3. 12316,2024-05-29,,None,aa3e9c9f-500f-4c85-bb51-41b6f12692b3
Chavane (Bruno): Villages De Lancien Tekrour. Recherches Archéologiques Dans La Moyenne Vallée Du Fleuve Sénégal,,,,2024-05-29,None,,Free,None,,None,,INFO-00000152,,https://www.persee.fr/doc/outre_0300-9513_1990_num_77_286_2773_t1_0125_0000_2,,Journal article,Descamps Cyr,,,None,Outre-mers. Revue Dhistoire,1990-01-01,,286,None,French,,125-126,,,,77,None,None,None,None,None,,None,None,,None,2024-05-29,,None,fcec37b3-2b48-4a5a-9620-dd43107a370e
The Search for Takrur: Archaeological Excavations and Reconnaissance Along the Middle Senegal Valley,,,,2024-05-29,None,,,None,,None,,INFO-00000153,,https://www.tandfonline.com/doi/full/10.1080/0067270X.2017.1379177,,Journal article,Magnavita Sonja,,,None,Azania: Archaeological Research in Africa,2017-10-02,,4,None,English,,546-548,,,,52,None,None,None,None,None,,None,None,,10. 1080/0067270x. 2017. 1379177,2024-05-29,,None,6f950616-bb87-4c8e-bba9-13e11150d036
Paysans Sereer: Dynamiques Agraires Et Mobilités Au Sénégal,,,,2024-05-29,None,,,Ird Éditions,,None,,INFO-00000154,,http://books.openedition.org/irdeditions/15828,,Book,None,,,None,None,1999-01-01,,None,None,French,,None,,,,None,None,None,None,None,978-2-7099-1441-3 978-2-7099-2525-9,,None,None,,None,2024-05-29,,None,d3db7078-3b4b-4b0b-a537-095eb08d9340
Les Mégalithes Du Sénégal Et De La Gambie Dans Leur Contexte Régional,,,,2024-05-29,None,,All Rights Reserved,None,,None,,INFO-00000155,,https://journals.openedition.org/aaa/1033,,Journal article,Laporte Luc ; Bocoum Hamady ; Delvoye Adrien ; Sanogo Kléna ; Polet Jean ; Ceesay Baba ; Cros Jean-paul ; Athié Adama ; Djouad Selim ; Ndiaye Matar ; Armbruster Barbara ; Ballouche Aziz ; Eichhorn Barbara ; Garnier Aline ; Lespez Laurent ; Mathé Vivien ; Robion-brunner Caroline,,,None,Afrique: Archéologie & Arts,2017-11-15,,13,None,French,,93-119,,,,None,None,None,None,None,None,,None,None,,10. 4000/aaa. 1033,2024-05-29,,None,536bf2de-e76e-4cce-838e-c4bf3f59e193
A Leopards Kopje Burial at Mathangwane in Northeastern Botswana,,,,2024-05-29,,,,None,,,,INFO-00000156,,https://www.jstor.org/stable/23631442,,Journal article,Van Waarden Catrien ; Mosothwane Morongwa Nancy,,,,The South African Archaeological Bulletin,2013-01-01,,198,,,,173-187,,,,68,,,,,None,,,,,None,2024-05-29,,,126e8f80-01ad-4ebc-baa6-a711faa18d3c
On the Origins of the Bama Ngwato,,,,2024-05-29,,,,None,,,,INFO-00000157,,https://www.jstor.org/stable/40979381,,Journal article,Parsons Q. n.,,,,Botswana Notes and Records,1973-01-01,,None,,,,82-103,,,,5,,,,,None,,,,,None,2024-05-29,,,82fff5e4-6705-4b09-be92-7897b504e8af
Khamas own Account of himself,,,,2024-05-29,,,,None,,,,INFO-00000158,,https://www.jstor.org/stable/40979323,,Journal article,Parsons Q. n.,,,,Botswana Notes and Records,1972-01-01,,None,,,,137-146,,,,4,,,,,None,,,,,None,2024-05-29,,,f752daeb-84cf-49ea-a05d-75411146f05d
The Monumental Architecture and Archaeology North of the Tana River,,,,2024-05-29,,,,National Museums of Kenya,,,,INFO-00000159,,https://books.google.co.ke/booksid=9jEOAQAAMAAJ,,Book,Wilson T. h. ; Kenya National Museums of,,,,None,1978-01-01,,None,,,,None,,,,None,,,,,None,,,,,None,2024-05-29,,,6583ba6a-182c-48bf-9c22-5feb6b3451cf
The Archaeology of Central Darfur (Sudan) In the 1st Millennium Placeholder_ad,,,,2024-05-28,,,,Bar Publishing,,,,INFO-00000160,,https://www.fulcrum.org/epubs/cv43nz34t#page=1,,Book,Mohammed Ibrahim Musa,,,,None,1986-01-01,,None,,,,None,,,,None,,,,,978-0-86054-367-1 978-1-4073-4490-4,,,,,None,2024-06-06,,,b49a2515-e3ba-4dc9-b8dd-b6c644009c7a
The Sudan Papers of the Rev. Dr. A. J. Arkell,,,,2024-05-28,,,,None,,,,INFO-00000161,,https://www.jstor.org/stable/42677967,,Journal article,O Fahey R. s.,,,,Sudan Notes and Records,1974-01-01,,None,,,,172-174,,,,55,,,,,None,,,,,None,2024-07-29,,,b26b5c3e-6113-4dc9-af7a-f607c3ba96de
Mahas Survey 1990,,,,2024-05-28,,,,None,,,,INFO-00000162,,https://www.w3newspapers.com/sudan/,,Webpage,David Edwards Ali Osman,,,,None,None,,None,,,,None,,,,None,,,,,None,,,,,None,2024-06-06,,,cdf19c74-b16d-475a-b6ca-28acb85b3778
Villages De Lancien Tekrour: Recherches Archéologiques Dans La Moyenne Vallée Du Fleuve Sénégal,,,,2024-05-28,None,,,Karthala Editions,,None,,INFO-00000163,,None,,Book,Chavane Bruno a.,,,None,None,1985-01-01,,None,None,French,,None,,,,None,None,None,None,None,978-2-86537-143-3,,None,None,,None,2024-05-28,,None,afbd6a0a-eb99-4a5b-b42e-2094c4f40196
Vestiges Protohistoriques Et Occupation Humaine Au Sénégal,,,,2024-05-28,None,,Free,None,,None,,INFO-00000164,,https://www.persee.fr/doc/adh_0066-2062_1974_num_1974_1_1246,,Journal article,Martin Victor ; Becker Charles,,,None,Annales De Démographie Historique,1974-01-01,,1,None,French,,403-429,,,,1974,None,None,None,None,None,,None,None,,10. 3406/adh. 1974. 1246,2024-05-28,,None,8845531f-7d61-456d-ad53-3e7f8b76e3b5
Shellfishing and Shell Midden Construction in the Saloum Delta Senegal,,,,2024-05-28,None,,,None,,None,,INFO-00000165,,https://linkinghub.elsevier.com/retrieve/pii/S0278416515001038,,Journal article,Hardy Karen ; Camara Abdoulaye ; Piqué Raquel ; Dioh Edmond ; Guèye Mathieu ; Diadhiou Hamet Diaw ; Faye Mandiémé ; Carré Matthieu,,,None,Journal of Anthropological Archaeology,2016-03-01,,None,None,English,,19-32,,,,41,None,None,None,None,None,,None,None,,10. 1016/j. jaa. 2015. 11. 001,2024-05-28,,None,5f589cb0-0968-411b-ba80-7c1fb7fc71f3
Sedimentary Records in the Middle Valley of the Bao Bolon River (Senegal). First Holocene Chronostratigraphic Outline.,,,,2024-05-28,,,,None,,,,INFO-00000166,,https://univ-rennes.hal.science/hal-02289883,,Journal article,Stern Mathilde ; Ballouche Aziz ; Weisskopf Emmanuel ; Landry David ; Bocoum Hamady ; Laporte Luc,,,,Quaternaire,2019-06-01,,2,,,,117-132,,,,30,,,,,None,,,,,10. 4000/quaternaire. 11679,2024-05-28,,,63602112-3dbd-4cb8-8809-2f1c587f56fb
Radiocarbon Chronology of Human Settlement and Paleo Environment in Senegal West Africa.,,,,2024-05-28,None,,,None,,None,,INFO-00000167,,https://hal.science/hal-02536162,,Conference paper,Hajdas Irka ; Maurer M. ; Röttig M. B. ; Chevrier Benoît ; Martinez Maria Lorenzo ; Loukou Serge ; Mayor Anne ; Pollarolo Luca ; Rasse Michel ; Garnier Aline ; Lespez Laurent ; Tribolo Chantal ; Lebrun Brice ; Abdoulaye Camara ; Bocoum Hamady ; Eric Huysecom,,,None,None,2016-11-18,,None,None,English,,None,,,,None,None,None,None,None,None,,None,None,,None,2024-05-28,,None,4f5b5e53-02a4-44f2-ae52-1e8936b4cfe1
Revision of the Humans Occupations Chronologies at the Senegalese and Mauritania Sites by Using Marine Reservoir Ages Corrections,,,,2024-05-28,None,,,None,,None,,INFO-00000168,,https://www.geochronometria.com/Revision-of-the-human-s-occupations-chronologies-at-the-Senegalese-and-Mauritania18460002.html,,Journal article,Ndeye Maurice ; Kebe Demba ; Sene Matar ; Athie Adama Harouna,,,None,Geochronometria,2021-04-04,,1,None,English,,16-30,,,,48,None,None,None,None,None,,None,None,,10. 2478/geochr-2021-0002,2024-05-28,,None,77d361bf-0e8f-4bbe-93f2-f43e778974f6
Recherches Archéologiques Sur Les Amas Coquilliers De La Basse Casamance: Le Cas De Niomoune Dans Les Îles Bliss Sénégal,,,,2024-05-28,None,,,None,,None,,INFO-00000169,,https://linkinghub.elsevier.com/retrieve/pii/S0003552123001139,,Journal article,Kébé Demba ; Diakho Fodé ; Baldé Djidere ; Thiam Djibril ; Sarr Arfang ; Badji Abdou,,,None,L Anthropologie,2023-11-01,,5,None,French,,103216,,,,127,None,None,None,None,None,,None,None,,10. 1016/j. anthro. 2023. 103216,2024-05-28,,None,222513c5-74c0-4f77-b192-c33b1775b8e6
