Chronology type,Description,Chronology name value,Digital provenance,Descriptive start date,Relationship type,Descriptive end date type,Editorial note,Name type,Resource modified at,Descriptive end date,Start date,MAEASaM ID,Region,Connected to,Geometry,Source,Descriptive start date type,Resource creation at,End date,resourceid
Ceramic,"The Middle assemblage, from approximately AD 200-1000, was the most diverse and widepsread, having been recovered from Fati4, Fati6, Fati7 and Fati9. Everted rim vessels with ribbing or channelling and red slip were the most numerous examples. These vessels were also burnished in small, but significant, numbers. Recovered at both Gao Ancien and Tombouze, these are characteristic of assemblage dating to the second half of the fisrt millenium AD (Insoll 2000; Park 2012).' (Coutros 2017)",Malian Lakes Region middle phase,,200~,has broader term (has narrower term),CE,,Primary name,,1000~,200,CHRN-00000555,"Mali, Primary name",Malian Lakes Region,, The Windé Koroji Complex: Evidence for the Peopling of the Eastern Inland Niger Delta (2100-500 BC),CE,,1000,739fbab9-9e1d-4a79-a7de-dccd2e7baafe
Ceramic,"Recent assemblage ceramics were recovered in low numbers from sites Fati6, Fati8 and Fati9. Red-slipped, simple open and everted rims, as well as beaded rims, closely resemble those of the Recent assemblage found in the Timbuktu region defined by McIntosh and McIntosh (1985). Examples include stabbing, fingernail impressions and braided roulettes. Although not recovered during the survey, tobacco pipes have often been associated with Recent assemblage ceramics in other regions, at sites corresponding to modern villages. The limited presence of these ceramics in the Gorbi Valley may be evidence that the region was sparsely inhabited, possibly in decline, during the sixteenth century. For this reason, this phase has been dated to AD 1000–1600.' (Coutros 2017)",Malian Lakes region recent phase,,1000,has broader term (has narrower term),CE,,Primary name,,1600,1000,CHRN-00000556,"Mali, Primary name",Malian Lakes Region,, The Windé Koroji Complex: Evidence for the Peopling of the Eastern Inland Niger Delta (2100-500 BC),CE,,1600,8c69c92c-bd30-4ff0-938a-b65ff7dc99ea
Polity,"The first state in modern Darfur attested to by historical and oral sources. Believed to have been pagan. The earliest reference to a polity in the area are from 1154CE, by al-Idrisi; O'Fahey estimates the ""Daju hegemony"" may have begun around this point, in the 12th century CE. ",Daju Kingdom,,1100,has broader term (has narrower term),CE,,Primary name,,1550,1100,CHRN-00000563,"Sudan, Primary name",Independent states in modern Darfur,, Excavations at Jenne-jeno Hambarketolo and Kaniana (Inland Niger Delta Mali) The 1981 Season,CE,,1550,074be3e4-7819-434d-9f94-95bb3ea61c9d
Polity,"The state in Darfur which displaced the preceding Tunjur and lasted (excluding the period of Ottoman occupation) until its final conquest by the British Empire. Ruled by the Fur people (which is the origin of the term 'Darfur', meaning ""Land of the Fur"" in Arabic), specifically the Keira dynasty. Its foundation is unclear, but at the earliest happened in the early 17th century CE (O'Fahey estimates the mid-17th century CE). ",Darfur Sultanate,,1600,has broader term (has narrower term),CE,,Primary name,,1916,1600,CHRN-00000564,"Sudan, Primary name",Independent states in modern Darfur,, Excavations at Jenne-jeno Hambarketolo and Kaniana (Inland Niger Delta Mali) The 1981 Season,CE,,1916,c0acb978-8715-4a9e-be7a-ff1079a4dbfb
Polity,"The second state in modern Darfur attested to by historical and oral sources, which conquered or in some other way displaced the preceding Daju. May have been founded by Arabs arriving from further North or East. The earliest historical reference to the polity is in 1550, but O'Fahey believes it may have been founded somewhat earlier. It was displaced by the Keira dynasty of the Fur people in probably by the mid-17th century CE, possibly earlier. ",Tunjur Sultanate,,1500,has broader term (has narrower term),CE,,Primary name,,1650,1500,CHRN-00000565,"Sudan, Primary name",Independent states in modern Darfur,, Excavations at Jenne-jeno Hambarketolo and Kaniana (Inland Niger Delta Mali) The 1981 Season,CE,,1650,93df17b1-0fec-451c-93c9-2ddcbf26eb20
Ceramic,"The material culture specific to this period is found almost everywhere in Senegal. Ceramics, one of the most characteristic materials, are generally poorly made. The pastes were coarse and the finishes sketchy. Pottery therefore tends towards stylistic and decorative simplicity. The edges are generally simple and the lips are often flattened. Decorations are rare.",Fulaadu phase VB (ceramic),,1500,has broader term (has narrower term),CE,,Primary name,,1700,1500,CHRN-00000569,"Senegal, Primary name",Historical period (Senegal),, Ghana Empire of - Mac Donald - Major Reference Works - Wiley Online Library,CE,,1700,7a201b85-4eee-4dd1-8a6b-decbed0a3548
,This is the period of the emergence of the Fulani group.,Kare,,1860,has broader term (has narrower term),CE,,Primary name,,1925,1860,CHRN-00000570,"Senegal, Primary name",Historical period (Senegal),, Ghana Empire of - Mac Donald - Major Reference Works - Wiley Online Library,CE,,1925,3a29c2b4-9c22-447d-b83c-04ae2a33d3cc
Ceramic,"The material culture specific to this period is found almost everywhere in Senegal. Ceramics, one of the most characteristic materials, are generally poorly made. The pastes were coarse and the finishes sketchy. Pottery therefore tends towards stylistic and decorative simplicity. The edges are generally simple and the lips are often flattened. Decorations are rare.",Late Kaabu (ceramic),,1500,has broader term (has narrower term),CE,,Primary name,,1700,1500,CHRN-00000571,"Senegal, Primary name",Historical period (Senegal),, Ghana Empire of - Mac Donald - Major Reference Works - Wiley Online Library,CE,,1700,9df811d8-0b61-4fb1-b3c4-13998756d78b
Ceramic,This phase is characterised by the opening up of historic sites to the products of the Atlantic trade which are associated with local ceramics. Also the sites often reveal processes of recomposition of spaces and the habitat is increasingly fortified.,Tomboura phase VC,,1700,has broader term (has narrower term),CE,,Primary name,,1860,1700,CHRN-00000572,"Senegal, Primary name",Historical period (Senegal),, Ghana Empire of - Mac Donald - Major Reference Works - Wiley Online Library,CE,,1860,acf88125-7b77-4ea7-ac4b-501538d73dfe
Ceramic,"The material culture specific to this period is found almost everywhere in Senegal. Ceramics, one of the most characteristic materials, are generally poorly made. The pastes were coarse and the finishes sketchy. Pottery therefore tends towards stylistic and decorative simplicity. The edges are generally simple and the lips are often flattened. Decorations are rare.",Tonteko (ceramic),,1500,has broader term (has narrower term),CE,,Primary name,,1700,1500,CHRN-00000573,"Senegal, Primary name",Historical period (Senegal),, Ghana Empire of - Mac Donald - Major Reference Works - Wiley Online Library,CE,,1700,42645762-7cff-4583-9f57-e32774c48fb5
,Italian colonisation of Ethiopia. Outposts from the period have been studied.,Italian colonial period (Ethiopia),,,has broader term (has narrower term),,,Primary name,,,,CHRN-00000577,"Ethiopia, Primary name",Colonial and resistence period (Eastern Africa),, Ghana Empire of,,,,35247940-9853-420c-bcab-47330e730bce
Non-specified,Used for phases and/or events that took place during the 1st millennium BC/BCE (1-1000 BC/BCE).  ,1st Millennium BCE,,1000,,BCE,,Primary name,,1,'-1000,CHRN-00000001,"Africa, Primary name",,,,BCE,,'-1,1a9449f0-5ee4-4a8a-aaf6-a597f819d982
Archaeological period,"The period covers the Plio-Pleistocene through to the Neolithic and includes the Early, Middle and Later Stone Ages.",Stone Age (Eastern Africa),,3.3,,BP,,Primary name,,1300,y-3300000,CHRN-00000146,"Eastern Africa, Primary name",,, European Soil Data Centre: Response to European Policy Support and Public Data Requirements,Ma BP,,1300,e11aff0b-41fc-4077-bcc4-ce8efebc6f66
Non-specified,Used for phases and/or events that took place during the later part of the 1st millennium BCE/BC (1 - 399 BC/BCE) Gregorian Calendar.  ,Early 1st Millennium BCE,,399,has broader term (has narrower term),BCE,,Primary name,,1,'-399,CHRN-00000002,"Africa, Primary name",1st Millennium BCE,,,BCE,,'-1,f7c55c8e-4a53-4b2c-a2e5-3e2b8cbd92ea
Non-specified,Used for phases and/or events that took place during the middle part of the 1st millennium BCE/BC (400 -799 BCE). Gregorian Calendar.  ,Mid 1st Millennium BCE,,799,has broader term (has narrower term),BCE,,Primary name,,400,'-799,CHRN-00000006,"Africa, Primary name",1st Millennium BCE,,,BCE,,'-400,1a7a33a5-706d-4fd4-bbbc-e25e853d7229
Non-specified,Used for phases and/or events that took place during the early part of the 1st millennium CE/AD (CE/AD 1 - 300) Gregorian Calendar.  ,Early 1st Millennium CE,,1,has broader term (has narrower term),CE,,Primary name,,300,1,CHRN-00000016,"Africa, Primary name",1st Millennium CE,,,CE,,300,ee0f83a9-c558-4f5a-ae2e-2a98fa4ec446
Non-specified,Used for phases and/or events that took place during the middle part of the 1st millennium CE/AD (CE/AD 301- 700) Gregorian Calendar.  ,Mid 1st Millennium CE,,301,has broader term (has narrower term),CE,,Primary name,,700,301,CHRN-00000020,"Africa, Primary name",1st Millennium CE,,,CE,,700,5acfb19e-676f-437c-bc7e-a536b7a44fd8
Non-specified,Used for phases and/or events that took place towards the end of the 2nd millennium BCE/BC (1001-1300 BC/BCE) Gregorian Calendar.  ,Early 2nd Millennium BCE,,1300,has broader term (has narrower term),BCE,,Primary name,,1001,'-1300,CHRN-00000030,"Africa, Primary name",2nd Millennium BCE,,,BCE,,'-1001,24e1ad58-aff0-4810-9410-735ce6b40577
Non-specified,Used for phases and/or events that took place during the middle part of the 2nd millennium BCE/BC (1301-1700 BC/BCE). Gregorian Calendar.  ,Mid 2nd Millennium BCE,,1700,has broader term (has narrower term),BCE,,Primary name,,1301,'-1700,CHRN-00000034,"Africa, Primary name",2nd Millennium BCE,,,BCE,,'-1301,3cf09d27-92ab-46ed-ac0d-2866c2ad8efe
Non-specified,Used for phases and/or events that took place during the early part of the 2nd millennium CE/AD (CE/AD 1001 - 1300) Gregorian Calendar.  ,Early 2nd Millennium CE,,1001,has broader term (has narrower term),CE,,Primary name,,1300,1001,CHRN-00000044,"Africa, Primary name",2nd Millennium CE,,,CE,,1300,f8d38394-740f-4cce-8777-4d9a05e383fb
Non-specified,Used for phases and/or events that took place towards the end of the 2nd millennium CE/AD (CE/AD 1701 - 2000) Gregorian Calendar.  ,Late 2nd Millennium CE,,1701,has broader term (has narrower term),CE,,Primary name,,2000,1701,CHRN-00000053,"Africa, Primary name",2nd Millennium CE,,,CE,,2000,01e081bf-6f8b-47e3-be9c-3bdf65b87537
Non-specified,Used for phases and/or events that took place during the early part of the 3rd millennium BCE/BC (2001-2300 BC/BCE) Gregorian Calendar.  ,Early 3rd Millennium BCE,,2300,has broader term (has narrower term),BCE,,Primary name,,2001,'-2300,CHRN-00000058,"Africa, Primary name",3rd Millennium BCE,,,BCE,,'-2001,92f458be-9c92-4dc3-ae92-7b03af8dcd46
Non-specified,Used for phases and/or events that took place towards the end of the 3rd millennium BCE/BC (2701-3000 BC/BCE). Gregorian Calendar.  ,Late 3rd Millennium BCE,,3000,has broader term (has narrower term),BCE,,Primary name,,2701,'-3000,CHRN-00000067,"Africa, Primary name",3rd Millennium BCE,,,BCE,,'-2701,2abc882f-aa67-4115-a9bd-837ff9b6d102
Non-specified,Used for phases and/or events that took place during the early part of the 4th millennium BCE/BC (3001-3300 BC/BCE),Early 4th Millennium BCE,,3300,has broader term (has narrower term),BCE,,Primary name,,3001,'-3300,CHRN-00000072,"Africa, Primary name",4th Millennium BCE,,,BCE,,'-3001,6c187397-a042-4bdd-9ef6-9c7cd94c7bf9
Non-specified,Used for phases and/or events that took place during the early part of the 4th millennium BCE/BC (3701-4000 BC/BCE) Gregorian Calendar.  ,Late 4th Millennium BCE,,4000,has broader term (has narrower term),BCE,,Primary name,,3701,'-4000,CHRN-00000081,"Africa, Primary name",4th Millennium BCE,,,BCE,,'-3701,afc4dad7-6a68-459e-b206-06473ded8544
Non-specified,"It has been suggested that the effects of humans on the global environment, particularly since the Industrial Revolution, have resulted in marked changes to the Earth’s surface, and that these may be reflected in the recent stratigraphic record. The term ‘Anthropocene’ (Crutzen, 2002) has been employed informally to denote the contemporary global environment that is dominated by human activity (Andersson et al., 2005; Crossland, 2005; Zalasiewicz et al., 2010). Discussions are presently ongoing to determine whether the stratigraphic signature of the Anthropocene is sufficiently clearly defined as to warrant its formal definition as a new period of geological time. The date for the start of the Anthropocene is currently being debated with some proponents suggesting that it began with the start of the Industrial Revolution (1800s) whilst others with the testing of atomic bombs in 1945. Others have suggest a date of 1950 marking the beginning of the 'Great Acceleration' in human activity. Another component of the debate includes whether the Anthropocene can be seen as different or distinct from the geological epoch of the Holocene",Anthropocene,,1800,has broader term (has narrower term),,"The International Union of Geological Sciences (IUGS) rejected the Anthropocene as a formal unit of the geologic timescale, stating that 'Despite its rejection as a formal unit of the geologic timescale, the Anthropocene will nevertheless continue to be used not only by Earth and environmental scientists but also by social scientists, politicians and economists as well as by the public at large.'",Primary name,,present,1800,CHRN-00000090,"Africa, Primary name",Quaternary,, Maritime and Underwater Cultural Heritage Management on the Historic and Arabian Trade Routes,CE,,..,cd465dda-4a25-4e2c-8162-306b9d4dc246
Geological epoch,"On the geologic time scale this is the earlier and longer epoch of the Quaternary. The Pleistocene extends from about 2.580 million years ago to 11,650 BCE. It is best known as the time when Earth entered its most recent period of glaciation.",Pleistocene,,2.58,has broader term (has narrower term),BP,,Primary name,,"11,500",y-258000,CHRN-00000098,"Africa, Primary name",Quaternary,, Finding Roots: Pop Culture Pilgrimage and the Affective Geographies of Kunta Kinteh Island. | Dark Tourism and Pilgrimage,Ma BP,,y-11000,365ce81d-2ccf-442d-9a76-c04c3f247296
Bead tradition,"7th - 8th Century AD. 'Based on chemical analysis Chibuene series beads probably came from the Middle East, east of the Euphrates with the Sasanian Persian Gulf trade. Possibly found at Nqoma, western Botswana and potentially at sites in East Africa. Around the middle-to-late 10th century importation of Zhizo beads ceased and Chibuene’s role as a port serving Indian Ocean trade and the interior of southern Africa ended. These beads are also found at several sites in West Africa beginning in around the 8th century AD, but seem to vanish from trade there by the end of the first millennium AD.'",Chibuene series (glass bead),,601,has broader term (has narrower term),CE,,Primary name,,800,601,CHRN-00000119,"Africa, Primary name",Asian maritime trade,, Migration Missionaries and Contact: Recent Archaeological Research in the Khwebe Hills Botswana,CE,,800,6978562a-8505-4d49-a1f1-9f0b6d68cdf8
Bead tradition,"Zimbabwe series beads are somewhat larger and longer than their predecessors namely Zhizo Indo-Pacific Series (8th - 10th Century), K2 Indo-Pacific Series (10th - 12th Century) and Mapungubwe Oblate Series (early 13th Century). The most distinctive changes are in glass translucency and colour. Zimbabwe series blue-green and yellow glasses are more transparent and the colours are softer; a dark green transparent glass appears for the first time, as well as a pale translucent greyish-green one; cobalt blue beads are less transparent as well as darkerand duller in colour. Black beads do occur but in much smaller numbers than in the earlier sequence. Apart from sites in Zimbabwe, these beads are found at sites in Botswana that have levels dating to the Zimbabwe period, such as Bosutswe and Tora Nju. (Wood 2011)",Zimbabwe series (glass bead),,1201,has broader term (has narrower term),CE,,Primary name,,1500,1201,CHRN-00000124,"Africa, Primary name",Asian maritime trade,, Migration Missionaries and Contact: Recent Archaeological Research in the Khwebe Hills Botswana,CE,,1500,537b9ac8-d5e9-43b9-b090-78705db9406a
Bead tradition,,Indian Red glass beads,,1300,has broader term (has narrower term),,,Primary name,,None,1300,CHRN-00000125,"Eastern Africa, Primary name",Asian maritime trade,, Migration Missionaries and Contact: Recent Archaeological Research in the Khwebe Hills Botswana,CE,,None,39b1942e-ade7-49b4-8253-a4599c7e172a
Bead tradition,"East African assemblages one sort stands out. It consists of small wound beads, most of which are transparent-translucent ruby red and a few that are amber-coloured. They are distinctive not only because small wound beads are rare, but the colours are unusual as well. The largest number of them was found at Kilwa’s Husuni Kubwa, Tanzania. One example found at Great Zimbabwe. These beads came from contexts dated to around the early 15th century, likely origins from China.",Chinese glass beads,,1500,has broader term (has narrower term),,,Primary name,,None,1500,CHRN-00000128,"Africa, Primary name",Asian maritime trade,, Migration Missionaries and Contact: Recent Archaeological Research in the Khwebe Hills Botswana,CE,,None,00e7ce78-565f-426e-9ebc-5a21bf95ed12
Ceramic,,Chinese porcelain,,,has broader term (has narrower term),,,Primary name,,,,CHRN-00000133,"Africa, Primary name",Asian maritime trade,, Establishment of Botswanas National Park and Game Reserve System,,,,20f4d2c8-ce3c-4ff1-80fb-7978782c141a
Archaeological period,The period associated with the earliest evidence of human origins and cultural behaviour (3.4mya-200kya). (Kiura 2019),Early Stone Age (Eastern Africa),,3.3,has broader term (has narrower term),ka BP,,Primary name,,200,y-3300000,CHRN-00000147,"Eastern Africa, Primary name",Stone Age (Eastern Africa),, European Soil Data Centre: Response to European Policy Support and Public Data Requirements,Ma BP,,y-200000,16689048-2528-4d95-bd8b-596eef663557
Archaeological period,"The period is marked by the absence of the large bifacial tools (the Acheulian handaxes and cleavers) and dominated by well-made flakes and blades that are sometimes retouched into side scrappers, points, denticulates, notches, backed elements and other formal tool types. The period is also associated with the oldest unequivocal evidence for use of fire in Africa. It is also associated with an archaic variety of Homo sapiens. (Deino 2018)",Middle Stone Age (Eastern Africa),,320,has broader term (has narrower term),ka BP,,Primary name,,30,y-320000,CHRN-00000153,"Eastern Africa, Primary name",Stone Age (Eastern Africa),, Sgraffito | Italian Renaissance Ceramics | Britannica,ka BP,,y-30000,c18f7462-3ff9-477a-94a8-7db829e83fc5
Archaeological period,"The most striking marker of this period is the widespread use of bone to produce standardised artefact types known as points. LSA is also associated with the manufacture of art objects and ornaments, especially beads and pendants made in bone and shell, including ostritch eggshell beads.",Later Stone Age (Eastern Africa),,67,has broader term (has narrower term),BP,,Primary name,,1300,y-67000,CHRN-00000157,"Eastern Africa, Primary name",Stone Age (Eastern Africa),,,ka BP,,1300,a26eac34-fc05-4595-a6fc-2ee068041191
Archaeological period,The most ancient lithic production sites in Nubia and Sudan can be attributed to the Late Acheulean. Sites are numerous and often located close to ancient terraces or on top or on the slopes of jebels.' (Usai 2019),Early Palaeolithic (Sudan),,,has broader term (has narrower term),,,Primary name,,,,CHRN-00000169,"Sudan, Primary name",Stone Age (Eastern Africa),, Maritime Community Settlement History in Pangani Bay Tanga Coastal Region Tanzania,,,,dc6ff71b-cddb-4233-bcd4-a251eef39072
Archaeological period,"The later phase of Palaeolithic is known mainly from the Second Cataract region. Characterised by persistent use of Levallois technology and increasing microlithism. In chronological sequence, the Halfan (19,500 and 17,500 BC), the Ballanan and the Qadan, are the three main lithic industries known for this phase. Faunal remains of Bos primigenius, antelope, gazelle, hippo and fish suggest a subsistence economy based on hunting and fishing.",Late Palaeolithic (Sudan),,38000,has broader term (has narrower term),BCE,,Primary name,,8000,'-38000,CHRN-00000175,"Sudan, Primary name",Stone Age (Eastern Africa),, Maritime Community Settlement History in Pangani Bay Tanga Coastal Region Tanzania,BCE,,'-8000,6246ce0f-8128-4344-91af-2f0f218792b6
Archaeological period,"This is the first and earliest period of the Stone Age occuring during the Plio-Pleistocene and dating from 2.1 mya to 0.2 mya for southern Africa. The Early Stone Age is characterised by the oldest known cultural material produced by hominins and is generally characterised by simple stone tool industries including the Oldowan dating between 2.1 mya and 1.7 mya and the Acheulean dating between 1.4 mya and 0.2 mya . In Southern Africa the earliest stone tools include simple flakes struck from cobbles, core and pebble tools and in later stages include intentionally shaped handaxes, cleavers and picks; final or transitional stages have tools that are smaller than the preceding stages and include large blades.  ",Earlier Stone Age (Southern Africa),,2.1,has broader term (has narrower term),ka BP,,Primary name,,200,y-2100000,CHRN-00000177,"Southern Africa, Primary name",Stone Age (Southern Africa),, Saloum Delta,Ma BP,,y-200000,da6bf7b3-b994-44fd-b03f-ed10e637cc95
Archaeological period,"A transitional period from Earlier Stone Age (ESA) to the Middle Stone Age (MSA). The period is generally defined as a change in use of large cutting tools (LCTs) such as handaxes and cleavers to the use of blades, points, and prepared core technology (Levallois). In southern Africa, some researchers identify transitional industries such as the Fauresmith (South Africa) and Sangoan (Zambia) as a transitional industry developed out of the Later Final Acheulean. Date range: ~ 600 - 200 kya. (Kuman et al 2020)",Transitional Earlier Stone Age and Middle Stone Age (Southern Africa),,600,has broader term (has narrower term),ka BP,,Primary name,,200,y-600000,CHRN-00000182,"Southern Africa, Primary name",Stone Age (Southern Africa),, 36 Com 8b. 16 - Decision,ka BP,,y-200000,fd2c4951-cbdc-4fe9-9229-0bff4b1098a7
Archaeological period,"The final period of the Stone Age dating from around 40 000 years ago BP and into the historic period; ending at various times in different regions in southern Africa. Assemblages are generally microlithic in character and include a wide range of organic and inorganic artefacts. Three Later Stone Age (LSA) industries occur - Late Pleistocene Microlithic (18000 - 12000 BP), Oakhurst (12,000 - 7000 BP), and Wilton (8000 - 100 BP) each of which carry different regional variations. The LSA is also characterised by the high variability in settlement patterns, subsistence strategies, and social organisation across different regions of southern Africa. Evidence for burials, the use of personal ornamentation and exchange networks are identified. The production of rock art in the form of paintings and engravings are widely evidenced across the the region. The Ceramic Later Stone Age phase occurs within the last 2000 years BP and generally co-occurs with the introduction of the first domestic livestock. The final Later Stone Age overlaps with the presence of the farming communities and later Europeans on the landscape. ",Later Stone Age (Southern Africa),,40,has broader term (has narrower term),CE,,Primary name,,1900,y-40000,CHRN-00000196,"Southern Africa, Primary name",Stone Age (Southern Africa),, Saloum Delta,ka BP,,1900,5c5a6764-54b0-4ed8-9be6-cbc14cc3990e
Archaeological period,"The Middle Paleolithic is dated between 75 000 and 27 000 BC. It is distributed over a large part of Senegal (the Falémé, the Niokolo-Koba Park, the Senegal River valley, the Cape Verde Peninsula). Characterised by side-scrapers, notches, backed knives, Levallois and Mousteroïd Facies. (Scerri et al 2021)",Middle Palaeolithic (Senegal),,75,has broader term (has narrower term),ka BP,,Primary name,,27,y-75000,CHRN-00000229,"Senegal, Primary name",Palaeolithic (Senegal),, Mapping the Villagescape: an Archaeological Approach to Political Ecology Along the Falemme River Ad 1000–1900,ka BP,,y-27000,991decb2-3b0a-46dc-a8dd-e03089b17929
Archaeological period,"The Evolved Palaeolithic, dating from around 27,000 to 13,000 BC, is widespread across Senegal. Characteristic tools are points (pedunculated and foliated), bifaces, blades, scrapers, drills, denticulated, and foliated bifacial armatures.",Evolved Palaeolithic (Senegal),,27,has broader term (has narrower term),BP,,Primary name,,13000,y-27000,CHRN-00000233,"Senegal, Primary name",Palaeolithic (Senegal),, Mapping the Villagescape: an Archaeological Approach to Political Ecology Along the Falemme River Ad 1000–1900,ka BP,,y-13000,259e605e-74c1-474f-bc01-37bc738eac7f
Archaeological period,"In the Senegambia, the Middle Stone Age appears to have taken place later than in surrounding areas, spanning from Marine Isotope Stage (MIS 6) to the Holocene, with some sites being as recent as 11.7 kya. It is characterised by the presence of small Levallois flakes and cores, as well as axes, denticulates, points, and scrapers made from chert and limestone.The occurrence of MSA sites is geographically widespread, but deposits tend to cluster along rivers, including the Senegal River Valley, the Falémé Valley, the Dakar Region, the Tiemassas area, the Gambia Valley, and the Kédougou region, as well as northern Guinea-Bissau",Middle Stone Age (Gambia),,,has broader term (has narrower term),,,Primary name,,,,CHRN-00000238,"Gambia, Primary name",Stone Age (Gambia),, 3. 3-million-year-old Stone Tools from Lomekwi 3 West Turkana Kenya,,,,f2dd05d8-4258-457c-9ad3-2fc2aa4ec7e6
Archaeological period,,Early Stone Age (Mali),,,has broader term (has narrower term),,,Primary name,,,,CHRN-00000243,"Mali, Primary name",Stone Age (Mali),,,,,,f1d10fe6-edbd-42aa-af84-9f44dbbebe8b
Archaeological period,,Middle Stone Age (Mali),,,has broader term (has narrower term),,,Primary name,,,,CHRN-00000246,"Mali, Primary name",Stone Age (Mali),,,,,,117c274a-293b-4d77-b008-31e639713bfe
Archaeological period,"The Neolithic occupation of the southwestern Sahara lasted from ca. 4000 B.P. to ca. 2000 B.P, when the area was abandoned due to the increasing aridity. During these two thousand years, the whole area was settled and dotted with numerous villages of different sizes, generating a cultural landscape (Holl 1993: 97)",Ceramic Late Stone Age (Mali),,4000,has broader term (has narrower term),BP,,Primary name,,2000,'-4000,CHRN-00000252,"Mali, Primary name",Stone Age (Mali),, Chronology of the Later Stone Age and Food Production in East Africa,BP,,'-2000,09ca62d7-c1c9-4329-8d0b-e4f63ddfc26a
Archaeological period,,Neolithic (Central Sudan),,5000,has broader term (has narrower term),BCE,,Primary name,,2000,'-5000,CHRN-00000254,"Sudan, Primary name",Neolithic (Eastern Africa),, Maritime Community Settlement History in Pangani Bay Tanga Coastal Region Tanzania,BCE,,'-2000,3ece4700-959c-44c5-9e17-dd0021b17a6c
Archaeological period,,Neolithic (Upper Nubia),,6000,has broader term (has narrower term),BCE,,Primary name,,4000,'-6000,CHRN-00000257,"Sudan, Primary name",Neolithic (Eastern Africa),, Maritime Community Settlement History in Pangani Bay Tanga Coastal Region Tanzania,BCE,,'-4000,9af06bd9-4849-4940-a9c3-f34698b5b346
Material culture,"The Elmentaitan is a group of sites identified by minimally decorated mica-tempered ceramics, large blade production, its own lithic tool styles, nearly exclusive use of green obsidian from Mt Eburru sources, cremation burials and settlement in highland areas. Settlement locations commonly on savanna/forest ecotone and open sites above 1900m and large settlements above 2600m. Removal of central incisors common.",Elmentaitan Neolithic,,3300,has broader term (has narrower term),BP,,Primary name,,1200,'-3300,CHRN-00000264,"Eastern Africa, Primary name",Pastoral Neolithic (Eastern Africa),, The Wavy Line and the Dotted Wavy Line Pottery in the Prehistory of the Central Nile and the Sahara-sahel Belt,BP,,1200,2367ff5f-8d14-4f1c-8045-069d25457f80
Material culture,"Regional subtradition of the Pastoral Neolithic, the Savanna Pastoral Neolithic (SPN) encompasses sites with domestic fauna associated with a wide range of ceramic styles including Narosura, Nderit, Ileret, Akira and Maringishu, a preference for gray-hued obsidians sourced to the Lake Naivasha Basin, particular lithic production techniques and tool styles, cairn burials and settlement in highland and lowland Savannas. ",Savanna Pastoral Neolithic (SPN),,5000,has broader term (has narrower term),BP,,Primary name,,1300,'-5000,CHRN-00000265,"Eastern Africa, Primary name",Pastoral Neolithic (Eastern Africa),, The Wavy Line and the Dotted Wavy Line Pottery in the Prehistory of the Central Nile and the Sahara-sahel Belt,BP,,1300,fe49008d-9478-48c8-a0ea-e739e6d60d0a
Material culture,"This facies, eponymous with the Cap Manuel site, has a chronology between 5434 and 411 BC. The material culture is  characterised by lithic and ceramic remains. The lithics consist of macro-tools such as strikers, nuclei, elongated pieces and nucleiform planes. Ceramics, which are rare, are tempered by quartz, laterite and gravel. The decoration consists of impressions made with a threaded comb or rolled cord.",Cape Manuel Neolithic,,5434,has broader term (has narrower term),BCE,,Primary name,,411,'-5434,CHRN-00000275,"Senegal, Primary name",Neolithic (Senegal),, Late Quaternary Archaeological and Palaeoenvironmental Data from Sediments at Rhino Cave Tsodilo Hills Botswana,BCE,,'-411,66a4b42d-fe49-428f-87ac-f9edb5c4246f
Material culture,"This Neolithic stream is characterised by macro and microlithics cut on quartz and flint. Polished hematite axes and grinding material are also numerous. In general, the tools reflect the abundance and diversity of the rocks used. The deposits also provide ceramics that are decorated with impressions and degreased with lateritic gravel, chamotte, sand and quartz.",Faleme Neolithic,,,has broader term (has narrower term),,,Primary name,,,,CHRN-00000277,"Senegal, Primary name",Neolithic (Senegal),, Late Quaternary Archaeological and Palaeoenvironmental Data from Sediments at Rhino Cave Tsodilo Hills Botswana,,,,90a9c248-61d2-4b34-87c9-4c1dd68c9bfb
Material culture,"The Ferlo Neolithic appears to be a transitional stream between the Falémé Neolithic and the Dune Microlithic, which is why its tools combine the components of these macro and microlithic streams. Ceramics are also present. The most characteristic sites of this stream are located on the levees adjacent to the Ferlo valley.",Ferlo Neolithic,,,has broader term (has narrower term),,,Primary name,,,,CHRN-00000278,"Senegal, Primary name",Neolithic (Senegal),, La Fouille Dun Site Acheuléen À Djita (basse vallée de la Falémé Sénégal),,,,f22523de-e9e3-4b69-987f-d9d9b98561d5
